Ranking,Motor,Jogo,Score Neural Elite X,Confianca,Score,Score Base,Score Correlação,Score Final,Score Estratégico,Score Diversidade,Distância Média,Repetidas Último Concurso,Score Repetição,Score Soma,Score Distribuição,Soma,Pares,Ímpares,Classificação
65,Elite X PRO,04 - 17 - 37 - 40 - 42 - 44,68.99,Media,68.29,67.59,38.01,68.29,90.25,75.73,5.16,1,85.0,100.0,85.0,184,4,2,Muito Forte
66,Elite X PRO,07 - 13 - 23 - 26 - 56 - 60,68.99,Media,68.05,65.03,32.29,68.05,90.25,79.8,5.4,1,85.0,100.0,85.0,185,3,3,Muito Forte
67,Elite X PRO,04 - 11 - 15 - 39 - 52 - 54,68.92,Media,68.9,69.64,33.12,68.9,90.25,73.6,4.94,1,85.0,100.0,85.0,175,3,3,Muito Forte
68,Elite X PRO,08 - 10 - 27 - 33 - 38 - 60,68.92,Media,68.48,66.27,41.67,68.48,90.25,76.2,5.2,1,85.0,100.0,85.0,176,4,2,Muito Forte
69,Elite X PRO,03 - 18 - 22 - 37 - 49 - 52,68.89,Media,71.34,69.02,26.99,71.34,94.75,69.43,5.1,1,85.0,100.0,100.0,181,3,3,Muito Forte
70,Elite X PRO,01 - 17 - 30 - 34 - 35 - 53,68.85,Media,69.83,65.76,36.2,69.83,100.0,72.67,5.1,2,100.0,100.0,100.0,170,2,4,Muito Forte
71,Elite X PRO,04 - 21 - 30 - 35 - 49 - 54,68.84,Media,70.41,72.08,32.77,70.41,94.75,66.71,4.67,1,85.0,100.0,100.0,193,3,3,Muito Forte
72,Elite X PRO,08 - 09 - 17 - 36 - 37 - 54,68.82,Media,67.79,70.34,35.05,67.79,88.5,72.87,4.96,2,100.0,80.0,85.0,161,3,3,Muito Forte
73,Elite X PRO,05 - 14 - 26 - 31 - 37 - 60,68.8,Media,70.28,67.67,29.79,70.28,94.75,76.13,5.36,1,85.0,100.0,100.0,173,3,3,Muito Forte
74,Elite X PRO,05 - 09 - 27 - 35 - 44 - 54,68.78,Media,70.47,70.08,37.92,70.47,94.75,69.47,4.86,1,85.0,100.0,100.0,174,2,4,Muito Forte
75,Elite X PRO,09 - 17 - 33 - 38 - 45 - 52,68.77,Media,69.61,67.59,31.59,69.61,100.0,74.2,5.24,2,100.0,100.0,100.0,194,2,4,Muito Forte
76,Elite X PRO,01 - 06 - 35 - 39 - 48 - 60,68.77,Media,68.15,67.49,34.52,68.15,90.25,74.53,5.1,1,85.0,100.0,85.0,189,3,3,Muito Forte
77,Elite X PRO,03 - 22 - 32 - 35 - 49 - 52,68.75,Media,69.81,67.12,31.96,69.81,94.75,75.4,5.32,1,85.0,100.0,100.0,193,3,3,Muito Forte
78,Elite X PRO,06 - 11 - 15 - 39 - 42 - 56,68.75,Media,69.51,69.71,35.67,69.51,87.75,71.4,5.0,1,85.0,80.0,100.0,169,3,3,Muito Forte
79,Elite X PRO,09 - 11 - 39 - 44 - 46 - 48,68.7,Media,68.35,69.33,39.14,68.35,90.25,71.07,4.76,1,85.0,100.0,85.0,197,3,3,Muito Forte
80,Elite X PRO,09 - 13 - 24 - 30 - 49 - 53,68.69,Media,70.24,71.4,30.31,70.24,100.0,63.73,4.48,2,100.0,100.0,100.0,178,2,4,Muito Forte
81,Elite X PRO,06 - 09 - 18 - 40 - 49 - 53,68.64,Media,70.5,71.04,27.22,70.5,94.75,71.17,5.0,1,85.0,100.0,100.0,175,3,3,Muito Forte
82,Elite X PRO,01 - 13 - 15 - 48 - 52 - 60,68.64,Media,67.97,68.8,23.15,67.97,95.5,75.53,5.1,2,100.0,100.0,85.0,189,3,3,Muito Forte
83,Elite X PRO,06 - 13 - 15 - 38 - 44 - 53,68.62,Media,69.7,72.24,32.25,69.7,87.75,70.33,4.92,1,85.0,80.0,100.0,169,3,3,Muito Forte
84,Elite X PRO,04 - 09 - 16 - 35 - 37 - 60,68.62,Media,67.79,71.71,33.01,67.79,88.5,71.8,4.88,2,100.0,80.0,85.0,161,3,3,Muito Forte
85,Elite X PRO,03 - 10 - 13 - 37 - 45 - 60,68.61,Media,69.35,71.6,32.63,69.35,93.0,69.93,4.92,2,100.0,80.0,100.0,168,2,4,Muito Forte
86,Elite X PRO,15 - 17 - 30 - 37 - 44 - 46,68.61,Media,68.24,68.87,38.06,68.24,88.5,70.33,4.68,3,80.0,100.0,85.0,189,3,3,Muito Forte
87,Elite X PRO,07 - 15 - 16 - 41 - 44 - 60,68.61,Media,67.42,64.65,24.62,67.42,95.5,76.67,5.2,2,100.0,100.0,85.0,183,3,3,Muito Forte
88,Elite X PRO,01 - 06 - 11 - 46 - 49 - 60,68.59,Media,68.34,67.04,36.2,68.34,90.25,73.87,5.02,1,85.0,100.0,85.0,173,3,3,Muito Forte
89,Elite X PRO,10 - 11 - 24 - 35 - 49 - 54,68.57,Media,71.99,72.79,42.68,71.99,79.0,69.95,5.15,0,40.0,100.0,100.0,183,3,3,Muito Forte
90,Elite X PRO,03 - 08 - 15 - 48 - 58 - 59,68.56,Media,67.45,64.64,27.33,67.45,95.5,78.6,5.36,2,100.0,100.0,85.0,191,3,3,Muito Forte
91,Elite X PRO,01 - 13 - 27 - 30 - 44 - 56,68.54,Media,70.4,71.09,35.01,70.4,94.75,64.32,4.52,1,85.0,100.0,100.0,171,3,3,Muito Forte
92,Elite X PRO,03 - 10 - 14 - 33 - 46 - 53,68.51,Media,69.14,67.44,40.9,69.14,87.75,74.47,5.26,1,85.0,80.0,100.0,159,3,3,Muito Forte
93,Elite X PRO,03 - 11 - 27 - 35 - 40 - 48,68.51,Media,68.98,66.67,46.48,68.98,87.75,73.53,5.18,1,85.0,80.0,100.0,164,2,4,Muito Forte
94,Elite X PRO,04 - 19 - 23 - 30 - 42 - 60,68.48,Media,69.59,66.83,28.26,69.59,100.0,72.53,5.08,2,100.0,100.0,100.0,178,4,2,Muito Forte
95,Elite X PRO,08 - 15 - 31 - 34 - 44 - 45,68.47,Media,68.08,65.75,33.1,68.08,90.25,76.27,5.2,1,85.0,100.0,85.0,177,3,3,Muito Forte
96,Elite X PRO,03 - 10 - 27 - 38 - 44 - 45,68.43,Media,67.51,68.93,38.89,67.51,83.25,73.73,5.0,1,85.0,80.0,85.0,167,3,3,Muito Forte
97,Elite X PRO,01 - 11 - 30 - 37 - 49 - 56,68.37,Media,70.63,69.5,38.25,70.63,94.75,60.32,4.42,1,85.0,100.0,100.0,184,2,4,Muito Forte
98,Elite X PRO,09 - 14 - 21 - 27 - 42 - 54,68.34,Media,69.43,71.75,32.46,69.43,87.75,70.67,4.94,1,85.0,80.0,100.0,167,3,3,Muito Forte
99,Elite X PRO,08 - 09 - 21 - 39 - 52 - 54,68.31,Media,67.91,69.03,27.79,67.91,90.25,73.07,4.92,1,85.0,100.0,85.0,183,3,3,Muito Forte
100,Elite X PRO,03 - 19 - 24 - 30 - 53 - 56,68.31,Media,67.35,66.17,25.19,67.35,95.5,73.13,4.9,2,100.0,100.0,85.0,185,3,3,Muito Forte
101,Elite X PRO,04 - 17 - 37 - 38 - 40 - 54,68.3,Media,67.79,67.68,37.28,67.79,90.25,76.47,5.18,1,85.0,100.0,85.0,190,4,2,Muito Forte
102,Elite X PRO,04 - 09 - 10 - 47 - 54 - 60,68.3,Media,65.21,67.8,33.67,65.21,86.5,74.53,4.84,2,100.0,100.0,55.0,184,4,2,Muito Forte
103,Elite X PRO,11 - 15 - 24 - 33 - 42 - 48,68.28,Media,68.2,67.74,31.37,68.2,90.25,76.47,5.14,1,85.0,100.0,85.0,173,3,3,Muito Forte
104,Elite X PRO,05 - 09 - 19 - 34 - 42 - 54,68.27,Media,69.2,69.91,35.15,69.2,87.75,72.87,5.14,1,85.0,80.0,100.0,163,3,3,Muito Forte
105,Elite X PRO,01 - 09 - 18 - 44 - 46 - 57,68.27,Media,67.98,66.26,34.39,67.98,90.25,74.13,5.04,1,85.0,100.0,85.0,175,3,3,Muito Forte
106,Elite X PRO,09 - 14 - 30 - 39 - 52 - 59,68.25,Media,68.53,69.71,32.08,68.53,93.0,68.73,4.76,2,100.0,80.0,100.0,203,3,3,Muito Forte
107,Elite X PRO,03 - 13 - 30 - 36 - 38 - 54,68.23,Media,69.52,67.88,30.95,69.52,100.0,68.93,4.82,2,100.0,100.0,100.0,174,4,2,Muito Forte
108,Elite X PRO,03 - 10 - 13 - 39 - 42 - 54,68.23,Media,69.49,72.68,34.66,69.49,87.75,69.93,4.92,1,85.0,80.0,100.0,161,3,3,Muito Forte
109,Elite X PRO,11 - 15 - 30 - 42 - 44 - 53,68.23,Media,67.65,68.85,29.77,67.65,95.5,69.53,4.62,2,100.0,100.0,85.0,195,3,3,Muito Forte
110,Elite X PRO,15 - 17 - 24 - 37 - 45 - 48,68.22,Media,67.31,66.45,28.94,67.31,95.5,75.93,5.1,2,100.0,100.0,85.0,186,2,4,Muito Forte
111,Elite X PRO,03 - 09 - 13 - 42 - 58 - 59,68.22,Media,67.15,65.31,29.89,67.15,95.5,75.4,5.12,2,100.0,100.0,85.0,184,2,4,Muito Forte
112,Elite X PRO,06 - 11 - 27 - 30 - 33 - 56,68.2,Media,69.04,69.2,37.38,69.04,87.75,71.13,4.96,1,85.0,80.0,100.0,163,3,3,Muito Forte
113,Elite X PRO,11 - 23 - 30 - 38 - 45 - 60,68.2,Media,68.37,68.37,33.97,68.37,93.0,71.13,4.94,2,100.0,80.0,100.0,207,3,3,Muito Forte
114,Elite X PRO,01 - 13 - 35 - 37 - 42 - 60,68.17,Media,69.68,70.77,31.45,69.68,94.75,70.73,4.98,1,85.0,100.0,100.0,188,2,4,Muito Forte
115,Elite X PRO,06 - 15 - 31 - 37 - 45 - 60,68.17,Media,69.19,68.25,30.01,69.19,100.0,71.53,5.04,2,100.0,100.0,100.0,194,2,4,Muito Forte
116,Elite X PRO,02 - 12 - 27 - 37 - 40 - 60,68.13,Media,69.43,65.64,33.78,69.43,94.75,75.33,5.3,1,85.0,100.0,100.0,178,4,2,Muito Forte
117,Elite X PRO,06 - 09 - 11 - 34 - 58 - 60,68.13,Media,67.43,64.94,31.4,67.43,95.5,75.33,5.1,2,100.0,100.0,85.0,178,4,2,Muito Forte
118,Elite X PRO,01 - 09 - 38 - 44 - 45 - 54,68.12,Media,67.95,70.34,32.16,67.95,90.25,70.13,4.74,1,85.0,100.0,85.0,191,3,3,Muito Forte
119,Elite X PRO,08 - 10 - 30 - 37 - 42 - 49,68.09,Media,68.08,68.92,39.62,68.08,90.25,69.47,4.68,1,85.0,100.0,85.0,176,4,2,Muito Forte
120,Elite X PRO,09 - 10 - 21 - 39 - 47 - 56,68.07,Media,69.51,69.3,31.04,69.51,94.75,70.07,4.92,1,85.0,100.0,100.0,182,2,4,Muito Forte
121,Elite X PRO,01 - 07 - 30 - 44 - 53 - 60,68.06,Media,67.34,67.24,29.79,67.34,95.5,71.27,4.8,2,100.0,100.0,85.0,195,3,3,Muito Forte
122,Elite X PRO,11 - 24 - 30 - 33 - 34 - 60,68.05,Media,66.91,64.0,37.25,66.91,95.5,73.53,4.94,2,100.0,100.0,85.0,192,4,2,Muito Forte
123,Elite X PRO,08 - 10 - 15 - 27 - 44 - 59,68.04,Media,69.11,70.85,34.39,69.11,87.75,70.87,4.98,1,85.0,80.0,100.0,163,3,3,Muito Forte
124,Elite X PRO,04 - 17 - 31 - 39 - 49 - 52,68.03,Media,69.11,66.5,35.81,69.11,94.75,74.73,5.28,1,85.0,100.0,100.0,192,2,4,Muito Forte
125,Elite X PRO,04 - 10 - 17 - 39 - 46 - 58,68.01,Media,69.53,67.01,33.31,69.53,94.75,75.53,5.34,1,85.0,100.0,100.0,174,4,2,Muito Forte
126,Elite X PRO,06 - 14 - 27 - 37 - 40 - 60,68.01,Media,69.28,68.68,29.46,69.28,94.75,72.93,5.12,1,85.0,100.0,100.0,184,4,2,Muito Forte
127,Elite X PRO,09 - 13 - 27 - 38 - 39 - 46,67.98,Media,69.8,69.75,35.77,69.8,94.75,69.27,4.86,1,85.0,100.0,100.0,172,2,4,Muito Forte
128,Elite X PRO,11 - 24 - 30 - 37 - 45 - 56,67.98,Media,68.71,71.1,37.07,68.71,87.75,68.2,4.72,1,85.0,80.0,100.0,203,3,3,Muito Forte
129,Elite X PRO,01 - 03 - 33 - 37 - 48 - 56,67.98,Media,67.69,66.13,36.14,67.69,90.25,76.13,5.22,1,85.0,100.0,85.0,178,2,4,Muito Forte
130,Elite X PRO,13 - 17 - 30 - 38 - 44 - 47,67.97,Media,67.27,67.51,23.23,67.27,95.5,73.8,4.94,2,100.0,100.0,85.0,189,3,3,Muito Forte
131,Elite X PRO,05 - 19 - 21 - 30 - 48 - 54,67.96,Media,69.61,68.27,26.06,69.61,94.75,72.0,5.04,1,85.0,100.0,100.0,177,3,3,Muito Forte
132,Elite X PRO,03 - 27 - 35 - 42 - 48 - 54,67.96,Media,68.68,70.3,37.28,68.68,87.75,73.13,5.12,1,85.0,80.0,100.0,209,3,3,Muito Forte
133,Elite X PRO,04 - 14 - 15 - 30 - 35 - 53,67.95,Media,68.69,69.29,36.83,68.69,93.0,69.07,4.8,2,100.0,80.0,100.0,151,3,3,Muito Forte
134,Elite X PRO,03 - 04 - 11 - 49 - 53 - 56,67.91,Media,67.7,66.62,38.04,67.7,90.25,74.07,5.02,1,85.0,100.0,85.0,176,2,4,Muito Forte
135,Elite X PRO,01 - 03 - 10 - 47 - 54 - 60,67.88,Media,65.13,66.15,27.98,65.13,86.5,77.47,5.06,2,100.0,100.0,55.0,175,3,3,Muito Forte
136,Elite X PRO,04 - 13 - 24 - 30 - 37 - 53,67.87,Media,69.4,74.49,31.73,69.4,87.75,68.2,4.74,1,85.0,80.0,100.0,161,3,3,Muito Forte
137,Elite X PRO,12 - 23 - 30 - 33 - 44 - 45,67.87,Media,67.16,65.26,31.23,67.16,90.25,75.6,5.08,1,85.0,100.0,85.0,187,3,3,Muito Forte
138,Elite X PRO,09 - 13 - 15 - 33 - 48 - 52,67.85,Media,69.59,70.67,25.38,69.59,100.0,71.13,4.98,2,100.0,100.0,100.0,170,2,4,Muito Forte
139,Elite X PRO,04 - 13 - 21 - 30 - 45 - 52,67.85,Media,68.98,71.07,31.25,68.98,87.75,71.73,5.02,1,85.0,80.0,100.0,165,3,3,Muito Forte
140,Elite X PRO,08 - 11 - 14 - 35 - 37 - 60,67.85,Media,67.11,69.33,36.29,67.11,83.25,74.07,5.02,1,85.0,80.0,85.0,165,3,3,Muito Forte
141,Elite X PRO,17 - 30 - 32 - 35 - 36 - 42,67.84,Media,66.58,62.43,35.37,66.58,95.5,77.13,5.2,2,100.0,100.0,85.0,192,4,2,Muito Forte
142,Elite X PRO,11 - 13 - 16 - 30 - 40 - 60,67.82,Media,67.15,64.3,36.86,67.15,95.5,73.73,4.9,2,100.0,100.0,85.0,170,4,2,Muito Forte
143,Elite X PRO,01 - 15 - 38 - 42 - 46 - 53,67.8,Media,69.31,69.31,26.86,69.31,94.75,73.53,5.16,1,85.0,100.0,100.0,195,3,3,Muito Forte
144,Elite X PRO,03 - 15 - 40 - 45 - 48 - 54,67.8,Media,68.21,69.73,27.88,68.21,93.0,72.2,5.06,2,100.0,80.0,100.0,205,3,3,Muito Forte
145,Elite X PRO,04 - 21 - 30 - 38 - 42 - 53,67.79,Media,69.07,68.19,32.46,69.07,94.75,71.73,5.02,1,85.0,100.0,100.0,188,4,2,Muito Forte
146,Elite X PRO,08 - 09 - 35 - 40 - 42 - 49,67.75,Media,64.96,67.3,32.79,64.96,81.25,74.2,4.88,1,85.0,100.0,55.0,183,3,3,Forte
